category,subcategory,name,brand,unit,min_stock_alert,barcode,image_url,images
ادویه و چاشنی و مخلفات غذا,ادویه و چاشنی,عصاره گندم جوانه‌زده 300 گرمی به‌مالت,,عدد,0,6262019500269,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/6262019500269%281%29.webp,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/6262019500269%281%29.webp|https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/6262019500269-%282%29.webp|https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/6262019500269-%283%29.webp
ادویه و چاشنی و مخلفات غذا,رب,رب گوجه فرنگی 800 گرمی مزمز,,عدد,0,6260002930352,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/6260002930352%281%29.webp,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/6260002930352%281%29.webp
ادویه و چاشنی و مخلفات غذا,رب,رب گوجه فرنگی 400 گرمی مزمز,,عدد,0,6260002930369,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/1472987099.webp,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/1472987099.webp|https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/1472987212.webp
ادویه و چاشنی و مخلفات غذا,ادویه و چاشنی,عصاره گوشت مرغ 80 گرمی اسپرتو,,عدد,0,6262435500416,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/1473077490.webp,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/1473077490.webp|https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/1473077499.webp
ادویه و چاشنی و مخلفات غذا,ادویه و چاشنی,عصاره گوشت 80 گرمی اسپرتو,,عدد,0,6262435500386,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/1473077901.webp,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/1473077901.webp|https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/1473077909.webp|https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/1473077919.webp
ادویه و چاشنی و مخلفات غذا,ادویه و چاشنی,عصاره سبزیجات 8 عددی 80 گرمی اسپرتو,,عدد,0,6262435500355,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/1473077829.webp,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/1473077829.webp|https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/1473077843.webp|https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/1473077853.webp
ادویه و چاشنی و مخلفات غذا,رب,رب گوجه فرنگی 800 گرمی رضوی,,عدد,0,6260284997692,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/1471356868.webp,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/1471356868.webp|https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/1471356875.webp
ادویه و چاشنی و مخلفات غذا,سرکه,سرکه سیب 2 لیتری وردا,,عدد,0,6260565100230,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/1473853837.webp,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/1473853837.webp
ادویه و چاشنی و مخلفات غذا,سرکه,سرکه انار 500 میلی‌لیتری وردا,,عدد,0,6260565100209,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/6260565100209%281%29.webp,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/6260565100209%281%29.webp
ادویه و چاشنی و مخلفات غذا,سرکه,سرکه بالزامیک ممتاز 250 میلی‌لیتری مازتی,,عدد,0,8006050091120,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/8006050091120%281%29.webp,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/8006050091120%281%29.webp|https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/8006050091120%282%29.webp
ادویه و چاشنی و مخلفات غذا,سرکه,سرکه بالزامیک اسپری 250 میلی‌لیتری مازتی,,عدد,0,8006050099317,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/8006050099317%281%29.webp,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/8006050099317%281%29.webp|https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/8006050099317%282%29.webp
ادویه و چاشنی و مخلفات غذا,رب,رب گوجه فرنگی 400 گرمی یک‌ویک,,عدد,0,6261111105174,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/1472991025.webp,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/1472991025.webp|https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/6261111105174-%281%29.webp|https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/6261111105174-%282%29.webp
